fips,QAT,ECU,SEN,NED,ENG,IRN,WAL,ARG,KSA,MEX,POL,FRA,AUS,DEN,TUN,ESP,CRC,GER,JPN,BEL,CAN,MAR,CRO,BRA,SRB,SUI,CMR,POR,GHA,URU,KOR
37171,0.0,17.0,0.0,14.0,11.0,0.0,0.0,0.0,0.0,2998.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,217.0,8.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0
42125,3.0,12.0,0.0,5.0,19.0,0.0,11.0,0.0,21.0,521.0,60.0,15.0,0.0,0.0,34.0,10.0,0.0,178.0,0.0,12.0,172.0,3.0,28.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,89.0
13245,15.0,0.0,0.0,10.0,56.0,45.0,52.0,15.0,0.0,907.0,36.0,48.0,0.0,0.0,8.0,19.0,6.0,406.0,6.0,0.0,160.0,0.0,0.0,53.0,0.0,0.0,4.0,0.0,10.0,21.0,805.0
40093,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,4.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55053,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,240.0,5.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02220,0.0,0.0,0.0,0.0,17.0,0.0,9.0,0.0,0.0,143.0,0.0,12.0,0.0,0.0,0.0,3.0,0.0,20.0,13.0,0.0,58.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0
13059,0.0,63.0,0.0,35.0,133.0,27.0,194.0,76.0,0.0,3235.0,24.0,62.0,0.0,0.0,0.0,46.0,32.0,131.0,70.0,5.0,258.0,0.0,0.0,69.0,0.0,0.0,34.0,10.0,256.0,18.0,618.0
36023,0.0,5.0,0.0,0.0,58.0,26.0,27.0,0.0,0.0,121.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,37.0,6.0,0.0,25.0,0.0,1.0,35.0,0.0,9.0,18.0,3.0,5.0,0.0,77.0
42061,0.0,4.0,0.0,0.0,9.0,0.0,22.0,0.0,0.0,116.0,0.0,25.0,0.0,5.0,0.0,0.0,0.0,26.0,10.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,0.0,7.0
28109,0.0,18.0,0.0,12.0,4.0,0.0,0.0,0.0,0.0,73.0,0.0,8.0,0.0,0.0,0.0,0.0,16.0,56.0,103.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28163,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,599.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31083,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
40075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48453,107.0,444.0,327.0,370.0,1379.0,2040.0,2412.0,501.0,523.0,83362.0,328.0,1126.0,0.0,65.0,542.0,831.0,526.0,2420.0,905.0,229.0,3831.0,254.0,44.0,928.0,222.0,385.0,136.0,73.0,298.0,560.0,4422.0
53061,630.0,256.0,40.0,277.0,1268.0,1824.0,1125.0,338.0,306.0,19112.0,499.0,335.0,0.0,203.0,119.0,91.0,245.0,1690.0,2088.0,108.0,4554.0,404.0,29.0,945.0,105.0,155.0,72.0,143.0,284.0,256.0,10246.0
55041,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28151,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,114.0,0.0,0.0,0.0,0.0,0.0,202.0,0.0,11.0,5.0,0.0,13.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
19065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
48025,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,544.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
06065,278.0,899.0,38.0,925.0,4342.0,2839.0,2557.0,1470.0,653.0,307839.0,946.0,1234.0,0.0,363.0,108.0,502.0,716.0,4024.0,2556.0,126.0,11484.0,146.0,386.0,1404.0,226.0,226.0,290.0,270.0,725.0,390.0,7876.0
19049,0.0,0.0,0.0,9.0,3.0,0.0,35.0,24.0,0.0,917.0,0.0,0.0,0.0,0.0,64.0,14.0,6.0,40.0,45.0,0.0,163.0,0.0,3.0,381.0,0.0,0.0,0.0,6.0,42.0,0.0,243.0
